Standard_Name,Definition_Standard_Name,Reference_Definition_Standard_Name,Short_Name,Definition_Short_Name,Reference_Definition_Short_Name,Long_Name,Definition_Long_Name,Reference_Definition_Long_Name,Variable_Name,Definition_Variable_Name,Reference_Definition_Variable_Name,Project,,,,,,,Product,Extension,Product Origin,Product_code,Long Definition (Reference),,,z,,,Definition CF 1.6,Definition 'Glossary of Weather and Climate' 
Canopy conductance,"Canopy conductance = Complex function of air temperature, vapor pressure deficit, indent radiation, and leaf water potential. ","Land Surface Evaporation, Measurement and Parameterization. 1991. Thomas J. Schnmugge and Jean-Claude AndrŽ (Eds.). Springer-Verlag Berlin, Heidelberg, New York. 424pp.","Daily average canopy conductance, 2.5th percentile of the ensemble of model estimates","Modelled daily average canopy conductance (mm per second, averaged over a day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture product: 2.5th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.",Dr. Luigi Renzullo,"Daily average canopy conductance, 2.5th percentile of the ensemble of model estimates. AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011","Modelled daily average canopy conductance (mm per second, averaged over a day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 2.5th percentile of the ensemble of model estimates.   Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. ",,canopy_conductance,"Canopy conductance = Complex function of air temperature, vapor pressure deficit, indent radiation, and leaf water potential. ","Land Surface Evaporation, Measurement and Parameterization. 1991. Thomas J. Schnmugge and Jean-Claude AndrŽ (Eds.). Springer-Verlag Berlin, Heidelberg, New York. 424pp.",AWRA05,,,,,,,,,,,,,,,,,,
Canopy conductance,"Canopy conductance = Complex function of air temperature, vapor pressure deficit, indent radiation, and leaf water potential. ","Land Surface Evaporation, Measurement and Parameterization. 1991. Thomas J. Schnmugge and Jean-Claude AndrŽ (Eds.). Springer-Verlag Berlin, Heidelberg, New York. 424pp.","Daily average canopy conductance, 50th percentile of the ensemble of model estimates","Modelled daily average canopy conductance (mm per second, averaged over a day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture product: 50th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.",Dr. Luigi Renzullo,"Daily average canopy conductance, 50th percentile of the ensemble of model estimates. AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011","Modelled daily average canopy conductance (mm per second, averaged over a day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 50th percentile of the ensemble of model estimates.   Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. ",,canopy_conductance,"Canopy conductance = Complex function of air temperature, vapor pressure deficit, indent radiation, and leaf water potential. ","Land Surface Evaporation, Measurement and Parameterization. 1991. Thomas J. Schnmugge and Jean-Claude AndrŽ (Eds.). Springer-Verlag Berlin, Heidelberg, New York. 424pp.",AWRA05,,,,,,,,,,,,,,,,,,
Canopy conductance,"Canopy conductance = Complex function of air temperature, vapor pressure deficit, indent radiation, and leaf water potential. ","Land Surface Evaporation, Measurement and Parameterization. 1991. Thomas J. Schnmugge and Jean-Claude AndrŽ (Eds.). Springer-Verlag Berlin, Heidelberg, New York. 424pp.","Daily average canopy conductance, 97.5th percentile of the ensemble of model estimates","Modelled daily average canopy conductance (mm per second, averaged over a day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture product: 97.5th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.",Dr. Luigi Renzullo,"Daily average canopy conductance, 97.5th percentile of the ensemble of model estimates. AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011","Modelled daily average canopy conductance (mm per second, averaged over a day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 97.5th percentile of the ensemble of model estimates.   Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. ",,canopy_conductance,"Canopy conductance = Complex function of air temperature, vapor pressure deficit, indent radiation, and leaf water potential. ","Land Surface Evaporation, Measurement and Parameterization. 1991. Thomas J. Schnmugge and Jean-Claude AndrŽ (Eds.). Springer-Verlag Berlin, Heidelberg, New York. 424pp.",AWRA05,,,,,,,,,,,,,,,,,,
Evaporation,Evaporation = The physical process by which a liquid is transformed to the gaseous state; the opposite of condensation; OR Evaporation = the amount of water evaporated per unit area often described in depth units (i.e. mm or inches),"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly 1976-2005 mean class A pan evaporation,"Monthly mean total class A pan evaporation for the Australian continent between 1976 and 2005. Class A pan evaporation is useful for estimating evaporation rates and water need and use. Modelled by fitting trivariate thin plate smoothing spline functions of longitude, latitude and vertically exaggerated elevation to the square roots of observed and estimated monthly 1976 to 2005 pan evaporation means at 444 Bureau of Meteorology stations.","Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Monthly 1976-2005 mean class A pan evaporation: ANUClimate 1.0, 0.01 degree, Australian Coverage","Monthly mean total class A pan evaporation for the Australian continent between 1976-2005. Class A pan evaporation is useful for estimating evaporation rates and water need and use. Modelled by fitting trivariate thin plate smoothing spline functions of longitude, latitude and vertically exaggerated elevation to the square roots of observed and estimated monthly 1976-2005 pan evaporation means at 444 Bureau of Meteorology stations. Quality controls were applied to the regression and the surface fitting processes to remove poor quality data. Thus, of 468 stations with at least 5 years of record, 19 stations had poor regressions with long term stations and a further 5 stations had extreme studentised residuals from initial spline analyses. Station elevations were 0.05 degree local averages of grid values from the GEODATA 9 second DEM version 3 as provided by eMAST_ANUClimate_fx_el05_v1m0. Missing monthly values were estimated by regression with the long term station that provided the monthly 1976-2005 means with with the least standard error. The mean absolute error of individual cross validation residuals provided by the spline analysis at 107 stations with near complete records, of at least 28 years, is 16.5 mm (11% of the mean).",,lwe_thickness_of_water_evaporation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Water"" means water in all phases. Evaporation is the conversion of liquid or solid into vapor. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Evaporation,Evaporation = The physical process by which a liquid is transformed to the gaseous state; the opposite of condensation; OR Evaporation = the amount of water evaporated per unit area often described in depth units (i.e. mm or inches),"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly class A pan evaporation,Monthly total class A pan evaporation for the Australian continent between 1970 and 2012. Class A pan evaporation us useful for estimating evaporation rates and water need and use. ,"Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Monthly class A pan evaporation: ANUClimate 1.0, 0.01 degree, Australian Coverage, 1970-2012","Monthly total class A pan evaporation for the Australian continent between 1970-2012. Class A pan evaporation is useful for estimating evaporation rates and water need and use. Modelled by expressing each monthly value as a normalised anomaly with respect to gridded 1976-2005 means and standard deviations for each month. The monthly anomalies have been interpolated by trivariate thin plate smoothing spline functions of longitude, latitude and vertically exaggerated elevation using ANUSPLIN Version 4.5. Station elevations were 0.05 degree local averages of grid values from the GEODATA 9 second DEM version 3 as provided by eMAST_ANUClimate_fx_el05_v1m0.  Monthly data values were obtained from Bureau of Meterology data at stations where there were at least 25 daily observations in each month, with short records scaled up to the complete month. This gave an average of 249 data points per month between 1970 and 2012. Automated quality assessment rejected on average 0.5 data values per month with extreme studentised residuals. The mean absolute value of all individual cross validation residuals provided by the spline analysis is 15.3 mm (10% of the overall mean). A comprehensive assessment of the analysis and the factors contributing to the quality of the final interpolated monthly rainfall grids is in preparation.",,lwe_thickness_of_water_evaporation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Water"" means water in all phases. Evaporation is the conversion of liquid or solid into vapor. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly actual evapotranspiration,Actual evapotranspiration (approximated) for the Australian continent ,Dr. Bradley Evans,"Monthly Actual evapotranspiration (approximated): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly actual evapotranspiration (approximated) for the Australian continent. Modelled using eMAST-R-Package 2.0.,,actual_evapotranspiration,The quantity of water evaporated from soil and plants when the ground is at its natural moisture content.,"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual actual evapotranspiration,Actual evapotranspiration (approximated) for the Australian continent ,Dr. Bradley Evans,"Annual Actual evapotranspiration (approximated): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual actual evapotranspiration (approximated) for the Australian continent. Modelled using eMAST-R-Package 2.0.,,actual_evapotranspiration,The quantity of water evaporated from soil and plants when the ground is at its natural moisture content.,"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily evapotranspiration, 2.5th percentile of the ensemble of model estimates",Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 2.5th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily evapotranspiration, 2.5th percentile of the ensemble of model estimates. AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011",Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 2.5th percentile of the ensemble of model estimates.   Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. ,,evapotranspiration_ensemble,Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products. The data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. ,Dr. Luigi Renzullo,AWRA05,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily evapotranspiration, 50th percentile of the ensemble of model estimates",Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 50th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily evapotranspiration, 50th percentile of the ensemble of model estimates. AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011",Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 50th percentile of the ensemble of model estimates.   Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. ,,evapotranspiration_ensemble,Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products. The data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. ,Dr. Luigi Renzullo,AWRA05,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily evapotranspiration, 97.5th percentile of the ensemble of model estimates",Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 97.5th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily evapotranspiration, 97.5th percentile of the ensemble of model estimates. AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011",Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 97.5th percentile of the ensemble of model estimates.   Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. ,,evapotranspiration_ensemble,Modelled evapotranspiration (mm day) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products. The data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. ,Dr. Luigi Renzullo,AWRA05,,,,,,,,,,,,,,,,,,
