Top-level category,Long name,Short name,Common Standard Name,Abbreviation used in ePLANT,Unit,Short definition (140 characters),Long definition,Definition CF 1.6,Standard name (Reference),URL (Standard name),Label
Photosynthesis,Maximum rate of photosynthesis in saturated light per leaf area.,max_photo_A_sat_light_leaf_area,,ASATQ,_mol CO2 m-2 s-1,,"Maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (VCMAX); and electron transport for RuBP regeneration in the Calvin cycle (JMAXQ). When only light is saturating, the maximum rate of photosynthesis will be determined by the carboxylation of RuBP (Farquhar et al., 1980). Photosynthesis measured by IRGAs (Infrared Gas Analyzer system) is obtained in an area base. Photosynthesis in a mass base can be normalized to area base by simply dividing AMASS to leaf mass area (LMAQQ). Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004).",,Smith et al (2009),,"maximum, photosynthesis, saturated light, leaf area"
Photosynthesis,Maximum rate of photosynthesis in saturated light and CO2 per leaf area,max_photo_A_sat_light_CO2_leaf_area,,AMAXQ,_mol CO2 m-2 s-1,,"Maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (VCMAX); and electron transport for RuBP regeneration in the Calvin cycle (JMAXQ) (Farquhar et al., 1980). Photosynthesis measured by IRGAs (Infrared Gas Analyzer system) is obtained in an area base. Photosynthesis in a mass base can be normalized to area base by simply dividing AMASS to leaf mass area (LMAQQ). Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004).",,,,"maximum, photosynthesis, saturated light, leaf area, CO2"
Carboxylation,Maximum rate of carboxylation per leaf area,max_carboxylation_leaf_area,,VCMAX,_mol CO2 m-2 s-1,,"Maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (VCMAX); and electron transport for RuBP regeneration in the Calvin cycle (JMAXQ). When light is saturating, the amount of activated Rubisco determines the maximum velocity of carboxylation, VCMAX (Farquhar et al., 1980). VCMAX in an area based is calculated from photosynthesis in an area base. Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004).",,,,"maximum, leaf area, carboxylation"
Carboxylation,Maximum rate of electron transport per leaf area,max_electron_transport_leaf_area,,JMAXQ,_mol CO2 m-2 s-1,,"Maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (VCMAX); and electron transport for RuBP regeneration in the Calvin cycle (JMAXQ). When intercellular CO2 is saturating, the carboxylation capacity is determined by the maximum rate of electron transport, JMAXQ (Farquhar et al., 1980). JMAXQ in an area based is calculated from photosynthesis in an area base. Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004).",,,,"maximum, electron transport, leaf area"
Carboxylation,Rate of dark respiration per leaf area.,dark_resp_leaf_area,,RDARK,_mol C m-2 s-1,,"Between a quarter and a half of the carbon fixed by plants is released back as CO2 to the atmosphere by leaf respiration on a daily basis. Leaf mitochondrial respiration in the absence of light (Rdark) is a major component of total leaf respiration (Farquhar et al., 1980, Poorter et al., 1990). RDARK in a mass based is calculated from RDARK in an area base. Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004).",,,,"dark respiration, leaf area"
Photosynthesis,Maximum rate of photosynthesis in saturated light per leaf area at an ambient temperature of 25 degrees Celsius.,max_photo_A_sat_light_leaf_area_25_celsius,,ASA25,umol CO2 m-2 s-1,,"Maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (Vcmax); and electron transport for RuBP regeneration in the Calvin cycle (Jmax). When light is saturating, the maximum rate of photosynthesis will be determined by the carboxylation of RuBP (Farquhar et al., 1980). Photosynthesis determined in ambient temperature is standardized to 25 degrees Celsius applying an adapted Arrenius equation (Bernacchi et al., 2009). This standardization reduces biases due to temperature effects. Photosynthesis measured by IRGAs (Infrared Gas Analyzer system) is obtained in an area base. Photosynthesis in a mass base can be normalized to area base by simply dividing AMASS to leaf mass area (LMAQQ). Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004). ",,,,"maximum, photosynthesis, saturated light, leaf area, temperature"
Photosynthesis,Intercellular to ambient CO2 mole fraction.,ci_ca,,CICAQ,umol mol-1,,"Carbon assimilation rate depends on the CO2 leaf intercellular concentration and the diffusion of atmospheric CO2 into the leaf is mainly regulated by stomatal conductance (Farquhar et al., 1980). Simultaneously, stomatal conductance also permits leaves to transpire. The ratio CICAQ is a parameter to reflect plant strategy to regulate water losses through transpiration and carbon assimilation by photosynthesis (Prentice et al., 2014). ",,,,"intercellular, CO2, mole fraction"
Photosynthesis,Diameter at breast height.,diameter_breast_height_dbh,,DBHQQ,m,,"By convention, stem diameter of trees is usually measured at 130 cm above ground (Cornelissen et al., 2003).",,,,"diameter, breast height"
Isotopes,Carbon isotope _C13 discrimination.,carbon_isotope_delta_13,,DT13C,unitless,,"The main carboxylating enzyme, ribulose-1,5-bisphosphate carboxylase (Rubisco) discriminates against 13C because of the intrinsically lower reactivity of 13C. As carboxylation and leaf CO2 diffusion are integrated, _C13 can be used as a proxy for the ratio of intercellular and atmospheric partial pressures of CO2 (Farquhar et al., 1982).",,,,carbon isotope
Isotopes,Leaf transpiration per leaf area under saturated light.,trans_leaf_area_sat_light,,ETRAN,mmol H20 m-2 s-1,,"Transpiration is the loss of water through stomata. The evaporation of water from the leaves results from the water movement along an individual plant and the force driving it is a chain of differences in water potential from roots, stems and branches, leaves and atmosphere. ETRAN is associated to leaf VPD and both are outputs from leaf gas measurements (Eamus, 2006).",,,,"transpiration, leaf area, saturated light"
Isotopes,Stomatal conductance per leaf area under saturated light.,stomatal_cond_leaf_area_sat_light,,GSSAT,mol m-2 s-1,,"Stomata aperture in leaves is the main process to regulate diffusion of partial pressure of CO2 at the sites of carboxylation and the rate of transpiration. Stomatal conductance is correlated to carbon assimilation by photosynthesis and it is affected by solar radiation, temperature and climatic moisture (Medlyn et al., 2011).",,,,"stomatal conductance, leaf area, saturated light"
Isotopes,Maximum height of the plant.,max_height,,HTMAX,m,,"HTMAX is the potential minimum vertical distance between the plant base at ground level and the upper boundary of photosynthetic tissues (Niklas, 2007). HTMAX is associated with successful competition for light, LAI, potential life span, photosynthesis per unit leaf area, biomass in leaves and trades-off in hydraulic conductance (Falster and Westoby, 2003). ",,,,"maximum, height"
Isotopes,Huber Value,huber_value,,HUBER,m2 m-2,,"Huber value _ the fraction of leaf area to cross-sectional sapwood area. Sapwood cross-sectional area of a stem or branch at any point should scale isometrically with the area of leaves distal to that point. This isometric relationship reflects plant strategies in assimilation revenue and wood supporting costs suggesting links between photosynthesis and transpiration (Tyree and Ewers, 1991).",,,,value
Isotopes,Maximum rate of electron transport per leaf area at an ambient temperature of 25 degrees Celsius.,max_electron_transport_leaf_area_25_celsius,,JMA25,umol CO2 m-2 s-1,,"Maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (Vcmax); and electron transport for RuBP regeneration in the Calvin cycle (Jmax). When intercellular CO2 is saturating, the carboxylation capacity is determined by the maximum rate of electron transport, Jmax RuBP (Farquhar et al., 1980). Jmax estimated in ambient temperature is standardized to 25 degrees Celsius applying an adapted Arrenius equation (Bernacchi et al., 2009). This standardization reduces biases due to temperature effects. Jmax in an area based is calculated from photosynthesis in an area base. Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004). ",,,,"maximum, electron transport, leaf area, temperature"
Isotopes,Leaf area index.,leaf_area_index_LAI_vert_photography,,LAIPH,m2 m-2,,"LAI is defined as the one-sided green leaf area per unit ground area and it can be determined by destructive and non-destructive methods. Non-destructive methods to estimate LAI include hemispherical (LAIPH) and aerial photography and satellite images (LAIST) (Macfarlane et al., 2007). LAI can be relative to one individual or specie or to a whole stand. It is a parameter widely used in different models from intercepting water to estimating gross primary production.",,,,"leaf area, index"
Isotopes,Leaf area index.,leaf_area_index_LAI_aerial,,LAIST,m2 m-2,,"LAI is defined as the one-sided green leaf area per unit ground area and it can be determined by destructive and non-destructive methods. Non-destructive methods to estimate LAI include hemispherical (LAIPH) and aerial photography and satellite images (LAIST) (Macfarlane et al., 2007). LAI can be relative to one individual or specie or to a whole stand. It is a parameter widely used in different models from intercepting water to estimating gross primary production.",,,,"leaf area, index"
Isotopes,Leaf area.,leaf_area,,LAREA,mm-2,,"LAREA is used to obtain leaf mass per area (LMAQQ) or its inverse specific leaf area (SLA). Leaf area combined to other leaf morphologic traits such as thickness, mass, physical strength, phenology and life span is used to investigate carbon and water uses strategies in plants. Most studies harvest young fully expanded and hardened leaves and they should be scanned or measured in the same day of collection. One strategy to conserve the original area is to keep them in dark and moist (Cornelissen et al., 2003) .",,,,leaf area
Isotopes,Plant life form.,life_form,,LFORM,unitless,,"Plants life form is a classification that takes in account plantÍs structural architecture (e.g. tree, shrub, herb, grass, fern, forb, etc). Same species can present different life form as a way to adapt to different environments. ",,,,"plant, life form"
Isotopes,Leaf dry mass.,leaf_dry_mass,,LMASS,g,,"LMASS is used to obtain is used to obtain leaf mass per area (LMAQQ) or its inverse specific leaf area (SLA). LMASS combined to other leaf morphologic traits such as area, thickness, physical strength, phenology and life span is used to investigate carbon and water uses strategies in plants. Dry mass is obtained by desiccating the leaf in the oven at 60oC for at least 72h (or else at 80oC for 48h) (Cornelissen et al., 2003).",,,,"leaf, dry mass"
Isotopes,Leaf dry mass per area.,leaf_dry_mass_per_area,,LMAQQ,mg g-1,,"Leaf Mass per Area (LMAQQ) is obtained by dividing Leaf Area (LAREA) by Dry Mass Content (LMASS) .Its inverse is called Specific Leaf Area (SLA). LMA is a key parameter in trade-offs between plant traits for its high correlation with photosynthetic processes. Combined to other leaf morphologic traits such as thickness, mass, physical strength, phenology and life span is used to investigate carbon and water uses strategies in plants (Wright et al., 2005). Most studies harvest young fully expanded and hardened leaves and they should be weighted, scanned or measured in the same day of collection. One strategy to conserve the original area is to keep them in dark and moist. Dry mass is obtained by desiccating the leaf in the oven at 60oC for at least 72h (or else at 80oC for 48h) (Cornelissen et al., 2003).",,,,"leaf, dry mass, area"
Isotopes,Leaf width dimension.,leaf_width_dim,,LWIDT,mm,,"LWDIT combined to other leaf morphologic traits such as area, thickness, physical strength, phenology and life span is used to investigate carbon and water uses strategies in plants. Most studies harvest young fully expanded and hardened leaves and they should be scanned or measured in the same day of collection. One strategy to conserve the original area is to keep them in dark and moist (Cornelissen et al., 2003).",,,,"leaf, width"
Isotopes,Midday leaf water potential.,midday_leaf_water_potential,,MDPSI,MPa,,"Water potential quantifies the energy available to move water from one area to other by gravity, osmosis or other free energy. Water moves from areas of high to low water potential. During the day, the concentration of water vapour inside the sub-stomatal cavity is much larger than that in the atmosphere and water vapour diffuses (transpiration). Midday is an approximation that reflects the higher leaf water potential gradient in a day (Eamus, 2006).",,,,"leaf, water potential"
Isotopes,Nitrogen content per leaf dry mass.,Nitrogen_N_mass,,NMASS,mg g-1,,"Nitrogen is a key nutrient for carbon fixation in plants. Most leaf nitrogen is found in the protein Rubisco that drives the photosynthetic process. N is usually measured in concentration but it can be transformed from an area base to mass base by simply dividing NAREA to leaf mass area (LMAQQ). Mass based traits reflect plant revenues and expenditures per unit investment (Wright et al., 2003, Wright et al., 2004).",,,,"nitrogen, leaf, dry mass"
Isotopes,Pre-dawn leaf water potential that is equivalent to soil water potential.  ,pre_dawn_leaf_water_potential,,PDPSI,MPa,,"Water potential quantifies the energy available to move water from one area to other by gravity, osmosis or other free energy. Water moves from areas of high to low water potential. During the day, the concentration of water vapour inside the sub-stomatal cavity is much larger than that in the atmosphere and water vapour diffuses (transpiration). Overnight, the sub-stomatal cavity equilibrates with the atmosphere (relative humidity at least 99.8%). As the soil profile dries out, pre-dawn water potential will decline in parallel (Eamus, 2006).",,,,"pre-dawn, leaf, water potential, soil water potential"
Isotopes,Plant light-use efficiency,light_use_efficiency,,PLLUE,unitless,,"The ratio of total photosynthesis to absorbed PAR by the leaf. PLLUE is used in studies in the framework of plant economic budgets for carbon and radiation. The term ñefficiencyî suggests plants tend to maximize carbon gain towards an optimum assimilation-costs budget. High PLLUE expresses efficient light sequestration and investment; low PLLUE indicates that less light is converted to biomass. Plant use efficiency for carbon, light, nitrogen and water are parameters combined to access plants inputs in biomass production process (Haxeltine and Prentice, 1996).",,,,light-use efficiency
Isotopes,Phosphorous content per leaf dry mass.,Phosphorus_P_mass,,PMASS,mg g-1,,"Photosynthetic gain per unit leaf nitrogen is expected to be low in species inhabiting low-P soil sites. Leaf P, roots P and soil P are broadly correlated. As a result, the ratio N:P is frequently used in traits studies. P is usually measured in concentration but it can be transformed from an area base to mass base by simply dividing PAREA to leaf mass area (LMA). Mass based traits reflect plant revenues and expenditures per unit investment (Wright et al., 2003, Wright et al., 2004, Reich, 2014).",,,,"phosphorous, leaf, dry mass"
Photosynthesis,"Biochemistry of the plant - photosyntheic pathway (e.g. C3, C3, CAM).  ",biochemistry_pathway,,PPATH,unitless,,"Carbon is fixed in most plants by a biochemical process denominated C3 photosynthetic pathway. CO2 has to diffuse from the intercellular spaces to sites of carboxylation in the chloroplast and the fixation product in the calvin cycle is the 3-carbon compound 3-phosphoglycerate. In C4 species the CO2 fixation in the mesophyll cells is the 4-carbon compound oxaloacetate. This carbon is transported to the bundle-sheath cells via malate or aspartate and carbohydrates can be generated by the C3 pathway. C4 plants tend to have competitive advantage over C3 plants when light is abundant and temperatures high. However, C4 energy (ATP) requirements to ñpumpîCO2 are costly. In the Crassulacean acid metabolism (CAM), plants close stomata during the day to reduce transpiration and open at night to diffuse CO2. CAM calvin cycle site is in the chloroplast. CAM photosynthesis is advantageous in arid and very dry habitats. In C4 and CAM plants photorespiration is reduced, as Rubisco is more efficient in carbon fixation when competing with oxygen fixation (Atwell et al., 1999, von Caemmerer and Furbank, 2003).",,,,"photosynthesis, pathway, c3, c4, cam"
Photosynthesis,Leaf level quantum yield.,quantum_yeld,,QTYLD,umol mol-1,,"Carbon assimilation is influenced by incident irradiance and CO2 leaf partial pressure. The quantum yield refers to the efficiency of photosynthetic utilization of light energy carried by a proton.  Here is defined as the initial slope of the relationship between carbon assimilation rate and irradiance in a given CO2 leaf partial pressure (Farquhar et al., 1980).",,,,"leaf, quantum yield"
Photosynthesis,Rate of dark respiration per leaf area at an ambient temperature of 25 degrees Celsius.,dark_resp_leaf_area_25_celsius,,RDA25,umol C m-2 s-1,,"Between a quarter and a half of the carbon fixed by plants is released back as CO2 to the atmosphere by leaf respiration on a daily basis. Leaf mitochondrial respiration in the absence of light (Rdark) is a major component of total leaf respiration (Farquhar et al., 1980, Poorter et al., 1990). Rdark estimated in ambient temperature is standardized to 25 degrees Celsius applying an adapted Arrenius equation (Bernacchi et al., 2009). This standardization reduces biases due to temperature effects. Vcmax in an area based is calculated from photosynthesis in an area base. Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004). ",,,,"dark respiration, leaf area, temperature"
Biomass,Total root biomass per ground area.,total_root_biomass_ground_area,,ROOTM,g m-2,,"Root biomass together with litterfall is the most important input of organic carbon to the soil. Belowground carbon mass and net primary production is more than twice aboveground. Investment in large roots follows the investment in fine root. Large roots are the biggest structural investment in most plants. Fine roots are associated to uptake of water and essential nutrients (Jackson et al., 1996).",,,,"root, biomass, ground area"
Biomass,Fine root radius.,fine_foot_radius,,ROOTR,mm,,"Fine root radius is associated to uptake of water and essential nutrients. Individual plants can rapidly adjust their fine root system to compete in zones where limiting nutrients are made available. Fine roots are a more accurate indicator of root function than large roots. Carbon allocation increases to fine root radius when water and nutrients are a limiting factor to plant growth (Pregitzer et al., 2002).",,,,"root, radius"
Biomass,Plant rooting depth.,root_depth,,ROOTZ,m,,"Plants with deep roots are expected to be well adapted to droughts and arid conditions. Deep roots are more frequently associated with plant water uptake but they can also affect the above ground carbon partitioning (investments in structural or photosynthetic tissues) and nutrient uptake (Canadell et al., 1996, Wang and Smith, 2004).",,,,"root, depth"
